Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Goldy Laser & Spa,F-1650 Williams Pky Brampton ON L6S 5R7,Aesthetics,2023-03-30,,location.href = '/Portal/Facility/Details/88aed44c-2ade-4f0b-af39-8dabac92e59a' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/88aed44c-2ade-4f0b-af39-8dabac92e59a
Good Vibes Tattoo Studio,2B-2200 Dundas St E Mississauga ON L4X 2V3,Tattooing,2023-06-13,,location.href = '/Portal/Facility/Details/0eee678a-f274-4d6f-a008-8e557270fba0' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0eee678a-f274-4d6f-a008-8e557270fba0
Gore Zone Barber Shop,49-8887 The Gore Rd Brampton ON L6P 2K9,Hair Dressing / Barbering,2023-11-23,,location.href = '/Portal/Facility/Details/d511e9e5-4946-4a3f-a4ea-e5a1a863e62d' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d511e9e5-4946-4a3f-a4ea-e5a1a863e62d
Gorgeous Brows & Lashes,800 Matheson Blvd W Mississauga ON L5N 3E4,Aesthetics,2024-04-16,,location.href = '/Portal/Facility/Details/822154fd-d55c-469c-8eb0-eec96751c57b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/822154fd-d55c-469c-8eb0-eec96751c57b
Gossip Nails & Spa,B12-1240 Eglinton Ave W Mississauga ON L5V 1N3,Manicure / Pedicure,2023-04-13,,location.href = '/Portal/Facility/Details/9128beaf-9b69-460a-a83e-4e1a7b07109b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9128beaf-9b69-460a-a83e-4e1a7b07109b
Grace Hair Design & Beauty Parlour,11-4646 Heritage Hills Blvd Mississauga ON L5R 1Y4,Hair Dressing / Barbering,2023-12-01,,location.href = '/Portal/Facility/Details/efdec043-880a-4cb0-a1cf-989aa4ff64a5' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/efdec043-880a-4cb0-a1cf-989aa4ff64a5
Gracelook Beauty Salon,6-10725 McLaughlin Rd N Brampton ON L7A 3E5,Ear Piercing,2024-04-05,,location.href = '/Portal/Facility/Details/0abb0017-b1b5-4c9d-b2ed-5888f34866a9' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0abb0017-b1b5-4c9d-b2ed-5888f34866a9
Grand LV Nails & Spa,6-40 Bristol Rd E Mississauga ON L4Z 3K8,Manicure / Pedicure,2023-01-09,,location.href = '/Portal/Facility/Details/95ba27b2-f292-4551-b9db-97bd6583b2eb' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/95ba27b2-f292-4551-b9db-97bd6583b2eb
Grand LV Nails & Spa LTD,11-1585 Mississauga Valley Blvd Mississauga ON L5A 3W9,Manicure / Pedicure,2023-11-29,,location.href = '/Portal/Facility/Details/e5ac2171-b1e4-452f-9db1-f78a1b465d64' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e5ac2171-b1e4-452f-9db1-f78a1b465d64
Grand Nails & Spa,13-6435 Erin Mills Pky Mississauga ON L5N 4H4,Manicure / Pedicure,2023-10-17,,location.href = '/Portal/Facility/Details/15707a94-9591-4ceb-9a33-a4e43a861d9b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/15707a94-9591-4ceb-9a33-a4e43a861d9b
Grand Park Spa Laser & Salon,B-3995 Grand Park Dr Mississauga ON L5B 4A7,Manicure / Pedicure,2023-11-30,,location.href = '/Portal/Facility/Details/fb06b7c1-067e-4def-88b1-7776bdf54b92' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fb06b7c1-067e-4def-88b1-7776bdf54b92
Great Clips,2-175 Fletchers Creek Blvd Brampton ON L6X 0Y7,Hair Dressing / Barbering,2023-11-20,,location.href = '/Portal/Facility/Details/baf7332a-668b-4eb0-aceb-087fe0edbfe2' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/baf7332a-668b-4eb0-aceb-087fe0edbfe2
Great Clips,103-3052 Elmcreek Rd Mississauga ON L5B 0L3,Hair Dressing / Barbering,2023-12-18,,location.href = '/Portal/Facility/Details/d9b75f7b-3bf5-489b-92d7-251987e3115b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d9b75f7b-3bf5-489b-92d7-251987e3115b
Great Clips,30-7070 Saint Barbara Blvd Mississauga ON L5W 0E6,Hair Dressing / Barbering,2024-01-23,,location.href = '/Portal/Facility/Details/3e39b3ee-6a7b-4385-b19b-5236c63a3a8a' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/3e39b3ee-6a7b-4385-b19b-5236c63a3a8a
Great Clips,7-9045 Airport Rd Brampton ON L6S 0B8,Hair Dressing / Barbering,2023-11-17,,location.href = '/Portal/Facility/Details/da4023a6-1fbe-499b-8694-442a23b7de02' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/da4023a6-1fbe-499b-8694-442a23b7de02
Great Clips,19-12612 Hwy 50 Bolton ON L7E 1T6,Hair Dressing / Barbering,2024-04-10,,location.href = '/Portal/Facility/Details/10addd75-ba23-4b0e-b607-44673ffaa457' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/10addd75-ba23-4b0e-b607-44673ffaa457
Great Clips,2-3160 Argentia Rd Mississauga ON L5N 0B1,Hair Dressing / Barbering,2023-11-03,,location.href = '/Portal/Facility/Details/60e473f5-5816-403f-b2c0-a40f2fb726be' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/60e473f5-5816-403f-b2c0-a40f2fb726be
Great Clips,5-10525 Bramalea Rd Brampton Ontario L6P 3P4,Hair Dressing / Barbering,2023-07-28,,location.href = '/Portal/Facility/Details/0e50de39-1923-4382-bf12-e5cb1c3df3d6' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0e50de39-1923-4382-bf12-e5cb1c3df3d6
Great Clips,2-8990 Chinguacousy Rd Brampton ON L6Y 0H8,Hair Dressing / Barbering,2024-01-31,,location.href = '/Portal/Facility/Details/b41d05da-3a32-418a-8154-cb297fdfb750' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b41d05da-3a32-418a-8154-cb297fdfb750
Great Clips,1510 Dundas St E Mississauga ON L4X 1L4,Hair Dressing / Barbering,2023-06-16,,location.href = '/Portal/Facility/Details/44bde769-09c8-4e2d-bb0b-b408cd6292e7' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/44bde769-09c8-4e2d-bb0b-b408cd6292e7
