Facility Name,Site Address,Last Inspection Date,Colour Posting,url_entity_partial,category,Type,Legislation,Status,Offence Date,Description,Status Updated,url_entity_full
La Ribambelle- St. Jean de Brebeuf,270 Chelton Rd  London ON N6M 0B9,04/30/2024,,location.href = '/Portal/Facility/Details/092edaca-e116-4030-b4be-20cd1b59259e' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/092edaca-e116-4030-b4be-20cd1b59259e
Humble Beginnings Nursery School,1510 Fanshawe Park Rd E  London ON N5X 3Z9,04/26/2024,,location.href = '/Portal/Facility/Details/1f0f302e-8081-44b0-8d35-b832ef8c5be5' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/1f0f302e-8081-44b0-8d35-b832ef8c5be5
St. John Early Childhood Learning Centre,1212 Coronation Dr  London ON N6G 0B4,04/25/2024,,location.href = '/Portal/Facility/Details/a0bd4cba-5822-4dd4-9226-a09e143f7f6a' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/a0bd4cba-5822-4dd4-9226-a09e143f7f6a
Adelaide Early Childhood Learning Centre,189 Adelaide St S  London ON N5Z 3K7,04/24/2024,,location.href = '/Portal/Facility/Details/198c18d6-631e-4fe0-a462-7af9350059d2' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/198c18d6-631e-4fe0-a462-7af9350059d2
Gibbons Park Montessori School,29 Victoria St  London ON N6A 2B1,04/23/2024,,location.href = '/Portal/Facility/Details/689285b0-9431-409e-b155-21911e26830c' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/689285b0-9431-409e-b155-21911e26830c
Preschool of the Arts,111 Wortley Rd  London ON,04/23/2024,,location.href = '/Portal/Facility/Details/f575d293-e8d3-4d6d-acb6-72b77dab5956' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f575d293-e8d3-4d6d-acb6-72b77dab5956
La Ribambelle - La Pommeraie,3500 Settlement Trail  London ON N6P 0C3,04/19/2024,,location.href = '/Portal/Facility/Details/06a1d640-0881-4d2b-95c9-8484ec238ba2' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/06a1d640-0881-4d2b-95c9-8484ec238ba2
Mount Brydges Sonshine Day Care,22243 Allen Rd  Mount Brydges ON N0L 1W0,04/17/2024,,location.href = '/Portal/Facility/Details/4d514947-533e-46c7-9eae-5844d801fbf1' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4d514947-533e-46c7-9eae-5844d801fbf1
Byron Woods Montessori School,1468 Commissioners Rd W  London ON N6K 1E6,04/17/2024,,location.href = '/Portal/Facility/Details/b4d3c33d-a0d5-468b-8538-3382526d7d6e' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/b4d3c33d-a0d5-468b-8538-3382526d7d6e
La Ribambelle- Ridgewood,345 Ridgewood Cres  London ON N6J 3G8,04/16/2024,,location.href = '/Portal/Facility/Details/c554b1b4-50df-4ea1-8415-4b7301d14287' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/c554b1b4-50df-4ea1-8415-4b7301d14287
London Islamic Child Care Centre,151 Oxford St W  London ON N6H 1S3,04/16/2024,,location.href = '/Portal/Facility/Details/0ee4417d-8bb4-4b8e-9221-370d8223d25b' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/0ee4417d-8bb4-4b8e-9221-370d8223d25b
Montessori Academy of London (Waterloo),718 Waterloo St  London ON N6A 3V9,04/16/2024,,location.href = '/Portal/Facility/Details/6a8218e7-248e-4fa7-9315-8ee36d9441b2' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/6a8218e7-248e-4fa7-9315-8ee36d9441b2
Mulberry Bush,555 Topping Lane  London ON N6J 3M9,03/27/2024,,location.href = '/Portal/Facility/Details/27dbe94a-8af2-4896-b642-760d55efe74a' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/27dbe94a-8af2-4896-b642-760d55efe74a
Noah's Ark Preschool,536 Huron St  London ON N5Y 4J5,03/26/2024,,location.href = '/Portal/Facility/Details/7304e710-d6cb-499a-a80a-a2219c6f64ab' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7304e710-d6cb-499a-a80a-a2219c6f64ab
LMM Woods,125 Woodward Ave  London ON N6H 2H1,03/26/2024,,location.href = '/Portal/Facility/Details/dd7ccc28-d3a2-48c2-afe2-f020856afaea' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/dd7ccc28-d3a2-48c2-afe2-f020856afaea
Gan-Gani Nursery School,536 Huron St  London ON N5Y 4J5,03/26/2024,,location.href = '/Portal/Facility/Details/3aeb513e-0894-423b-8bb9-9ae6d8988e3d' ,Licensed Child Care,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/3aeb513e-0894-423b-8bb9-9ae6d8988e3d
