Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Zabeeha Halal and Biryani Palace Grill Inc.,1367 Grand Marais Rd W Windsor ON N9E 1E3,Food Take Out,05-Dec-2023,location.href = '/disclosure/Facility/Details/b453b7c3-10aa-4df9-bb36-bc9f04a8dd3c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b453b7c3-10aa-4df9-bb36-bc9f04a8dd3c
Zaccagnini Meats,120 County Road 34 W Cottam ON N0R 1B0,Butcher Shop,14-Feb-2024,location.href = '/disclosure/Facility/Details/7b599930-afa0-483c-8201-1b21f8a47523' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7b599930-afa0-483c-8201-1b21f8a47523
Zaffron C3 Bistro,3224 Sandwich St Windsor ON N9C 1A8,Restaurant (Full Service),22-Nov-2023,location.href = '/disclosure/Facility/Details/9e4cc4cf-6ba1-4963-b96e-448dd2ed99be' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/9e4cc4cf-6ba1-4963-b96e-448dd2ed99be
Zap Zone Fun Center,1665 Lauzon Rd Windsor ON N8S 3N4,Refreshment Stand,24-Feb-2023,location.href = '/disclosure/Facility/Details/ef4a3919-28f1-40dc-9a57-9e11bf05fd5a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ef4a3919-28f1-40dc-9a57-9e11bf05fd5a
Zehrs,5890 Malden Rd LaSalle ON N9H 1S4,Grocery Store/Supermarket,30-Nov-2023,location.href = '/disclosure/Facility/Details/552f012b-562a-4b47-8d6b-92e5b10faa84' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/552f012b-562a-4b47-8d6b-92e5b10faa84
Zehrs,529-7201 Tecumseh Rd E Windsor ON N8T 1E8,Grocery Store/Supermarket,09-Nov-2023,location.href = '/disclosure/Facility/Details/5aa5dad9-4d0b-4a0d-b8a3-449bc60fe7c3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5aa5dad9-4d0b-4a0d-b8a3-449bc60fe7c3
Zehrs,400 Manning Rd Tecumseh ON N8N 3N7,Grocery Store/Supermarket,17-Apr-2024,location.href = '/disclosure/Facility/Details/adea75ee-e06f-4294-bc20-30210c9c0806' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/adea75ee-e06f-4294-bc20-30210c9c0806
Zehrs,300 Main St E Kingsville ON N9Y 1A8,Grocery Store/Supermarket,14-Mar-2024,location.href = '/disclosure/Facility/Details/039f1a04-bced-493e-9934-2aa224c8c431' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/039f1a04-bced-493e-9934-2aa224c8c431
Zekelman Tennis Centre,2000 Talbot Rd Windsor ON N9G 3C3,Food Take Out,03-May-2024,location.href = '/disclosure/Facility/Details/973d6465-e4fc-4a76-92f2-e1e5e691058a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/973d6465-e4fc-4a76-92f2-e1e5e691058a
Zen's Juice Bar,3236 Sandwich St Windsor ON N9C 1A6,Food Take Out,27-Mar-2024,location.href = '/disclosure/Facility/Details/dd86703f-3531-44af-9652-691e0a102763' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/dd86703f-3531-44af-9652-691e0a102763
Zio Dom's Pizza,29 Cherrywood Ave Leamington ON N8H 4Z8,Caterer,,location.href = '/disclosure/Facility/Details/2a9244d1-d53a-4546-9e75-3115ca8c3048' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2a9244d1-d53a-4546-9e75-3115ca8c3048
Ziter Pharmacy,1290 Tecumseh Rd E Windsor ON N8W 1B6,Convenience/Variety Store,29-Mar-2023,location.href = '/disclosure/Facility/Details/eb4fc987-ec9e-4daa-bacf-6e0336e64f0f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/eb4fc987-ec9e-4daa-bacf-6e0336e64f0f
Zizi The Bakester,7-3395 Howard Ave Windsor ON N9E 3N6,Bake Shop,13-Mar-2024,location.href = '/disclosure/Facility/Details/12d78ab8-f7f5-4b68-ac83-0154911ef85a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/12d78ab8-f7f5-4b68-ac83-0154911ef85a
Zuleeats,7-2760 Howard Ave Windsor ON N8X 3X6,Bakery,19-Jan-2024,location.href = '/disclosure/Facility/Details/de23dcbd-c4f5-430c-b5d7-3669d2fa7095' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/de23dcbd-c4f5-430c-b5d7-3669d2fa7095
#1 Nail & Spa,5-83 Sandwich St S Amherstburg ON N9V 1B8,Aesthetics/Nail Salon,19-Jan-2024,location.href = '/disclosure/Facility/Details/7561a6ac-e209-4279-9dc5-a5ab5ed2f075' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7561a6ac-e209-4279-9dc5-a5ab5ed2f075
2 Waves Beauty Bar,45 Talbot St N Essex ON N8M 1A3,Aesthetics/Nail Salon,09-Nov-2023,location.href = '/disclosure/Facility/Details/cfd07acc-f50d-4b68-9d4b-acfb2d9f86db' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/cfd07acc-f50d-4b68-9d4b-acfb2d9f86db
2 Waves Beauty Bar,26 Main St W Kingsville ON N9Y 1H2,Ear/Body Piercing,08-Feb-2024,location.href = '/disclosure/Facility/Details/c4bd3c86-2f4a-47db-8dd2-02b655b916c5' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c4bd3c86-2f4a-47db-8dd2-02b655b916c5
2 Waves Beauty Bar,111 Sandwich St S Amherstburg ON N9V 1Z6,Ear/Body Piercing,13-Feb-2024,location.href = '/disclosure/Facility/Details/f54f9ead-028a-452c-9287-6331c73e9763' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f54f9ead-028a-452c-9287-6331c73e9763
2 Waves Beauty Bar,546 Notre Dame St Belle River ON N0R 1A0,Aesthetics/Nail Salon,29-Aug-2023,location.href = '/disclosure/Facility/Details/c61119c2-59e6-42ea-a77a-642c1946a83c' ,Personal Services & Child Care,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c61119c2-59e6-42ea-a77a-642c1946a83c
