Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
Required,01-Feb-2023,location.href = '/disclosure/Inspection/Details/a53e189b-1369-494a-b7ce-d41294bec82d' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/a53e189b-1369-494a-b7ce-d41294bec82d,https://disclosure55.wechu.org/disclosure/Facility/Details/d53f0af1-c0b9-4302-9d15-67a7d7d1c81c
Required,12-Oct-2023,location.href = '/disclosure/Inspection/Details/42120def-6662-4f60-b105-7ceb5abbf507' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/42120def-6662-4f60-b105-7ceb5abbf507,https://disclosure55.wechu.org/disclosure/Facility/Details/3f15cf7e-207e-43d1-b091-9b00b0c29229
Required,19-Dec-2023,location.href = '/disclosure/Inspection/Details/c3b46f4f-70e5-4bd6-b090-a923e7c8a753' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c3b46f4f-70e5-4bd6-b090-a923e7c8a753,https://disclosure55.wechu.org/disclosure/Facility/Details/b57900e6-f906-4870-87d7-022d6391e092
Required,21-Nov-2023,location.href = '/disclosure/Inspection/Details/241ed73c-04d1-4f9e-80bd-dd7f9fbf99a6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/241ed73c-04d1-4f9e-80bd-dd7f9fbf99a6,https://disclosure55.wechu.org/disclosure/Facility/Details/033be5d3-d280-42c1-92c5-1046bd318695
Required,02-Oct-2023,location.href = '/disclosure/Inspection/Details/72ad5a74-d5bf-4cf2-8d20-e16254006334' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/72ad5a74-d5bf-4cf2-8d20-e16254006334,https://disclosure55.wechu.org/disclosure/Facility/Details/3a6b956c-564d-4166-a152-f3163b166407
Required,06-Feb-2024,location.href = '/disclosure/Inspection/Details/282d4be1-314c-4153-9e88-c888f2f3cec7' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/282d4be1-314c-4153-9e88-c888f2f3cec7,https://disclosure55.wechu.org/disclosure/Facility/Details/fd580043-7966-4056-81b0-47b309551160
Required,16-Jan-2023,location.href = '/disclosure/Inspection/Details/6e0305c4-ad91-454a-84f3-b24ceef918e6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/6e0305c4-ad91-454a-84f3-b24ceef918e6,https://disclosure55.wechu.org/disclosure/Facility/Details/fd580043-7966-4056-81b0-47b309551160
Re-Inspection,16-Jan-2023,location.href = '/disclosure/Inspection/Details/0777c8c6-7b70-4bc9-b076-e9da19d3c4b6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0777c8c6-7b70-4bc9-b076-e9da19d3c4b6,https://disclosure55.wechu.org/disclosure/Facility/Details/fd580043-7966-4056-81b0-47b309551160
Required,12-Dec-2022,location.href = '/disclosure/Inspection/Details/3e8d1960-ccd1-4bec-885a-a7f1333402db' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/3e8d1960-ccd1-4bec-885a-a7f1333402db,https://disclosure55.wechu.org/disclosure/Facility/Details/fd580043-7966-4056-81b0-47b309551160
Required,30-Apr-2024,location.href = '/disclosure/Inspection/Details/2493f568-8eaa-4ebf-8458-2d9e2cfabdea' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2493f568-8eaa-4ebf-8458-2d9e2cfabdea,https://disclosure55.wechu.org/disclosure/Facility/Details/b0b5061f-666b-44c8-bed3-bdb51caa6451
Required,01-Nov-2023,location.href = '/disclosure/Inspection/Details/7808a626-2011-47c7-b1b6-0fef63f2ecbf' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7808a626-2011-47c7-b1b6-0fef63f2ecbf,https://disclosure55.wechu.org/disclosure/Facility/Details/b0b5061f-666b-44c8-bed3-bdb51caa6451
Required,30-Apr-2024,location.href = '/disclosure/Inspection/Details/bfedf52d-6640-415e-a3af-e8236e9c5160' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/bfedf52d-6640-415e-a3af-e8236e9c5160,https://disclosure55.wechu.org/disclosure/Facility/Details/18a0456f-c25e-4c98-a17b-2476ac324743
