Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
09-Nov-2022,Required,location.href = '/Inspection/Details/ced19f1e-27aa-4016-9508-77f2fe0dcdd4' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/ced19f1e-27aa-4016-9508-77f2fe0dcdd4,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
26-May-2022,Follow-up,location.href = '/Inspection/Details/2519fa2b-1580-41c4-9d5d-1c5b72037b69' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/2519fa2b-1580-41c4-9d5d-1c5b72037b69,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
25-Oct-2023,Required,location.href = '/Inspection/Details/0861d866-b261-41ee-aed7-f47706f83e43' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/0861d866-b261-41ee-aed7-f47706f83e43,https://checkbeforeyougo.phsd.ca/Facility/Details/b543f80e-78f1-4f23-8e1e-2adcf19ca33b
02-Apr-2024,Required,location.href = '/Inspection/Details/d6f6a56d-d9e4-4d32-a18c-aae269de7934' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/d6f6a56d-d9e4-4d32-a18c-aae269de7934,https://checkbeforeyougo.phsd.ca/Facility/Details/1f380937-d404-4429-8edd-aefbf79d5b4f
16-Nov-2023,Required,location.href = '/Inspection/Details/3c1c3b01-ff50-4053-b195-d8113bb96e7c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/3c1c3b01-ff50-4053-b195-d8113bb96e7c,https://checkbeforeyougo.phsd.ca/Facility/Details/ebda13fe-f485-49ed-b0f7-5d94a343a371
01-Dec-2023,Required,location.href = '/Inspection/Details/666f940b-3a45-45d0-9a10-e56487585af0' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/666f940b-3a45-45d0-9a10-e56487585af0,https://checkbeforeyougo.phsd.ca/Facility/Details/b4514b08-2c7f-4bc3-91e0-63951bbdb809
23-Nov-2022,Required,location.href = '/Inspection/Details/3ec4665f-24de-48e5-bd15-005a9a11bac7' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/3ec4665f-24de-48e5-bd15-005a9a11bac7,https://checkbeforeyougo.phsd.ca/Facility/Details/b4514b08-2c7f-4bc3-91e0-63951bbdb809
11-Dec-2023,Required,location.href = '/Inspection/Details/68d7c312-6cc3-43c2-afc7-270ba80ceac8' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/68d7c312-6cc3-43c2-afc7-270ba80ceac8,https://checkbeforeyougo.phsd.ca/Facility/Details/b2fd19e0-6a43-4ef1-89f3-12b2ff19ea27
07-Mar-2024,Required,location.href = '/Inspection/Details/281fc641-9da8-41d1-8f26-d081e214478f' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/281fc641-9da8-41d1-8f26-d081e214478f,https://checkbeforeyougo.phsd.ca/Facility/Details/4c40eda4-bd5b-4f5c-9653-48453fad2d75
09-Mar-2023,Required,location.href = '/Inspection/Details/4c019e9d-4335-4e7b-8180-c542709fc66f' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/4c019e9d-4335-4e7b-8180-c542709fc66f,https://checkbeforeyougo.phsd.ca/Facility/Details/4c40eda4-bd5b-4f5c-9653-48453fad2d75
11-Dec-2023,Required,location.href = '/Inspection/Details/bc41e41f-a605-4f9d-9a7b-05421c50b3e5' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/bc41e41f-a605-4f9d-9a7b-05421c50b3e5,https://checkbeforeyougo.phsd.ca/Facility/Details/1bca07c6-2e00-4910-91b6-d63344d98341
24-Apr-2024,Required,location.href = '/Inspection/Details/8ede82f8-20ab-4574-a44d-7d60c68ac882' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/8ede82f8-20ab-4574-a44d-7d60c68ac882,https://checkbeforeyougo.phsd.ca/Facility/Details/c2e54d91-4ff8-47d2-a124-1df473bf5ba5
28-Apr-2023,Required,location.href = '/Inspection/Details/6ba3ec02-c898-48c4-8b11-ab5cbd2e4e3c' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/6ba3ec02-c898-48c4-8b11-ab5cbd2e4e3c,https://checkbeforeyougo.phsd.ca/Facility/Details/0b56d4d4-a567-4fbd-b599-a7ad136c53fa
25-Jul-2022,Required,location.href = '/Inspection/Details/0e81b59d-c6ae-4f72-ade6-9a64c7182a63' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/0e81b59d-c6ae-4f72-ade6-9a64c7182a63,https://checkbeforeyougo.phsd.ca/Facility/Details/0b56d4d4-a567-4fbd-b599-a7ad136c53fa
24-Jun-2022,Required,location.href = '/Inspection/Details/b7a7cd71-cac7-4a19-bdff-1e60bc1906b3' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/b7a7cd71-cac7-4a19-bdff-1e60bc1906b3,https://checkbeforeyougo.phsd.ca/Facility/Details/0b56d4d4-a567-4fbd-b599-a7ad136c53fa
21-Jul-2023,Required,location.href = '/Inspection/Details/cccd045b-2159-4abd-b997-5efa9e16836d' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/cccd045b-2159-4abd-b997-5efa9e16836d,https://checkbeforeyougo.phsd.ca/Facility/Details/c0be5483-a02f-4338-ba97-99b4cf82b396
