Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Maja's,6152 King Street  Mindemoya ON P0P 1S0,Food Take Out,06-Jul-2023,location.href = '/Facility/Details/f345c9bb-91c2-4e79-b666-03a866f42f36' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f345c9bb-91c2-4e79-b666-03a866f42f36
Mama's Best,47 Berkley Court  Sudbury ON P3A 4B5,Bakery (Retail and Production),22-Feb-2024,location.href = '/Facility/Details/98ec7ef2-c57c-4d7d-925d-a12d24e880d0' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/98ec7ef2-c57c-4d7d-925d-a12d24e880d0
Mange Restaurant,1635 Main St  Val Caron ON P3N 1R8,Restaurant,11-Oct-2023,location.href = '/Facility/Details/3cf4c6cd-d277-4b03-a8af-c8881055586b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3cf4c6cd-d277-4b03-a8af-c8881055586b
Manitoulin Centennial Manor,70 Robinson St  Little Current ON P0P 1K0,Hospital / LTCF / Retirement Home / Institutional Setting,06-Mar-2024,location.href = '/Facility/Details/8ca68bf5-b3d0-4c7d-a8b4-b76cf437ba3f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8ca68bf5-b3d0-4c7d-a8b4-b76cf437ba3f
Manitoulin Chocolate Works,160 Main Street  Kagawong ON P0P 1J0,Food Take Out,19-May-2023,location.href = '/Facility/Details/304d84f7-035b-4ef9-a676-87e24f265f6f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/304d84f7-035b-4ef9-a676-87e24f265f6f
Manitoulin Family Resources Food Bank,27 Forest Street  Mindemoya ON P0P 1S0,Food Bank,30-Apr-2024,location.href = '/Facility/Details/5769e32d-cd78-4cc1-89e1-0a376c003eab' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5769e32d-cd78-4cc1-89e1-0a376c003eab
Manitoulin Golf,25 Golf Course Rd  Gore Bay ON P0P 1H0,Restaurant,05-Jun-2023,location.href = '/Facility/Details/ff110972-ae40-4b78-9b10-d11c03c9d759' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ff110972-ae40-4b78-9b10-d11c03c9d759
Manitoulin Health Centre,11 Meredith Street West  Little Current ON P0P 1K0,Hospital / LTCF / Retirement Home / Institutional Setting,06-Mar-2024,location.href = '/Facility/Details/153e6e4a-c0d6-42bf-a2ea-c81105c19862' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/153e6e4a-c0d6-42bf-a2ea-c81105c19862
Manitoulin Homemade Ice Cream,15898 Hwy 6  Manitowaning ON P0P 1N0,Food Take Out,08-Jun-2023,location.href = '/Facility/Details/bd310445-819e-477b-bd6e-28c18a4a35c9' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bd310445-819e-477b-bd6e-28c18a4a35c9
Manitoulin Hotel - North 46,66 Meredith St  Little Current ON P0P 1K0,Restaurant,09-Jan-2024,location.href = '/Facility/Details/57e7f106-cdf1-40cc-89c6-a9cfb37c3122' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/57e7f106-cdf1-40cc-89c6-a9cfb37c3122
Manitoulin Lodge Nursing,3 Main Street  Gore Bay ON P0P 1H0,Hospital / LTCF / Retirement Home / Institutional Setting,03-Jan-2024,location.href = '/Facility/Details/8b3cb4f1-2b6e-4f39-a6ff-23c5b778a79e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/8b3cb4f1-2b6e-4f39-a6ff-23c5b778a79e
Manitoulin Secondary School,107 Bay Street  M'chigeeng ON P0P 1G0,Cafeteria,01-Feb-2023,location.href = '/Facility/Details/fbcc0a14-1501-4aed-9266-c9e56ad99cbb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/fbcc0a14-1501-4aed-9266-c9e56ad99cbb
Manitowaning Freshmart,146 Arthur Street  Manitowaning ON P0P 1N0,Butcher Shop,13-Mar-2024,location.href = '/Facility/Details/59583f2c-5951-4aba-bbf0-a30005a5ff01' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/59583f2c-5951-4aba-bbf0-a30005a5ff01
Manitowaning Freshmart,146 Arthur Street  Manitowaning ON P0P 1N0,Supermarket,13-Mar-2024,location.href = '/Facility/Details/3eb9f754-f203-4a71-a17f-78bc42f3bb91' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3eb9f754-f203-4a71-a17f-78bc42f3bb91
Man-Wah House,24 Amanda St  Coniston ON P0M 1M0,Restaurant,03-May-2023,location.href = '/Facility/Details/6c66fa0e-849b-4e37-a5f6-6771d815ba3e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6c66fa0e-849b-4e37-a5f6-6771d815ba3e
Maple and Saffron,61 Birmingham Drive  Sudbury ON P3B 0G4,Bakery (Retail and Production),26-Oct-2023,location.href = '/Facility/Details/86d82fb0-cc63-4f2d-b5c8-969772326eea' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/86d82fb0-cc63-4f2d-b5c8-969772326eea
Maple Hill Farm,"450 Dominion Dr  Val Caron, P3P OA8 ON",Food Take Out,25-Apr-2024,location.href = '/Facility/Details/f3aab74e-b7ef-42d3-a16d-93911fae5827' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f3aab74e-b7ef-42d3-a16d-93911fae5827
Maple Hill Farm,450 Dominion Drive  Hanmer Ontario P3P 0A8,Mobile Food Premises,25-Apr-2024,location.href = '/Facility/Details/0791885e-f7dd-4269-89c7-60bee17dc0c4' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0791885e-f7dd-4269-89c7-60bee17dc0c4
Maple Tree Preschool,158 John Street  Sudbury ON P3E 1P4,Child-Care Setting Catered,13-Feb-2024,location.href = '/Facility/Details/223ae407-1637-429c-b556-6657fb91310d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/223ae407-1637-429c-b556-6657fb91310d
Maple Tree Preschool,44 Third Avenue  Sudbury ON P3B 3P8,Child-Care Setting Catered,04-Apr-2024,location.href = '/Facility/Details/2305ef19-90e9-48aa-af60-9f10ac6d1746' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2305ef19-90e9-48aa-af60-9f10ac6d1746
