Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
McDonald's,Restaurant,19-Apr-2024,630 Broad St E. Dunnville ON N1A 1H1,location.href = '/Portal/Facility/Details/ba582b4d-0be1-4bd1-ade0-7dee2de09459' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ba582b4d-0be1-4bd1-ade0-7dee2de09459
McDonald's (Walmart),Restaurant,25-Jan-2024,160 Queensway E. Simcoe ON N3Y 0A8,location.href = '/Portal/Facility/Details/d876779f-6c42-4c1c-bed9-b13aef70c1c0' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d876779f-6c42-4c1c-bed9-b13aef70c1c0
McIntee Residence,Group / Lodging Home (>9),,25 Jarden Road Dunnville ON N1A 2W4,location.href = '/Portal/Facility/Details/7e429b1d-fd62-4d44-9baf-eab80bdafc6e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7e429b1d-fd62-4d44-9baf-eab80bdafc6e
McKinnon Park Day Care Centre,Child Care Onsite Prep.,26-Feb-2024,91 Haddington Road Caledonia ON N3W 2H2,location.href = '/Portal/Facility/Details/a4fb44e9-7977-4d87-aaa8-0b053f7bd8ca' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a4fb44e9-7977-4d87-aaa8-0b053f7bd8ca
McKinnon Park Secondary School,School Cafeteria,26-Feb-2024,91 Haddington St Caledonia ON N3W 2H2,location.href = '/Portal/Facility/Details/c3e1b75c-913e-44a0-96ce-ef92c4b87d0a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c3e1b75c-913e-44a0-96ce-ef92c4b87d0a
Meuse Brewing,Brewery,22-Sep-2023,1853 Windham Road 3 Scotland ON N0E 1R0,location.href = '/Portal/Facility/Details/90ab5c65-d1c8-4e19-b1c8-023573f5caff' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/90ab5c65-d1c8-4e19-b1c8-023573f5caff
Meuse Market,Farm Gate,22-Sep-2023,1903 Windham Road 3 Scotland Ontario N0E 1R0,location.href = '/Portal/Facility/Details/e3fbea38-9378-47e2-8367-26b9f55dab20' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e3fbea38-9378-47e2-8367-26b9f55dab20
Mike's No Frills,Supermarket,21-Nov-2023,87 Thompson Dr Port Dover ON N0A 1N4,location.href = '/Portal/Facility/Details/bbbf7c11-cdf9-489f-9a40-49fde7c26875' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/bbbf7c11-cdf9-489f-9a40-49fde7c26875
Ming's Garden,Restaurant,26-Jan-2024,128 Lock St E Dunnville ON N1A 1J7,location.href = '/Portal/Facility/Details/accc20c7-70b9-4659-96c5-0ed069187f8e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/accc20c7-70b9-4659-96c5-0ed069187f8e
Mission Food Bank,Food Bank,17-Oct-2023,67 Queen St W. St. Williams ON N0E 1M0,location.href = '/Portal/Facility/Details/86b83375-a2a4-445a-a04b-2b602c94bdcd' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/86b83375-a2a4-445a-a04b-2b602c94bdcd
